
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.950 0.050, 0.050 0.333, 0.950 0.950, 0.050 0.667 ],Novel 1, [ 0.950 0.667, 0.050 0.950, 0.050 0.050, 0.333 0.050 ] Sample 2, [ 0.667 0.667, 0.333 0.050, 0.050 0.333, 0.333 0.950 ],Novel 2, [ 0.333 0.333, 0.950 0.667, 0.667 0.050, 0.667 0.950 ] Sample 3, [ 0.333 0.667, 0.950 0.950, 0.950 0.667, 0.667 0.333 ],Novel 3, [ 0.950 0.333, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.950 0.950, 0.050 0.050, 0.333 0.667, 0.950 0.667 ],Novel 4, [ 0.667 0.667, 0.667 0.050, 0.333 0.050, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel 5, [ 0.050 0.950, 0.333 0.050, 0.950 0.333, 0.667 0.950 ] Sample 6, [ 0.333 0.667, 0.667 0.333, 0.333 0.050, 0.333 0.950 ],Novel 6, [ 0.950 0.667, 0.950 0.950, 0.950 0.050, 0.050 0.333 ] Sample 7, [ 0.050 0.950, 0.667 0.333, 0.050 0.333, 0.050 0.050 ],Novel 7, [ 0.050 0.667, 0.333 0.333, 0.950 0.950, 0.950 0.050 ] Sample 8, [ 0.667 0.050, 0.050 0.667, 0.950 0.333, 0.333 0.050 ],Novel 8, [ 0.333 0.667, 0.950 0.950, 0.667 0.667, 0.050 0.333 ] Sample 9, [ 0.950 0.333, 0.950 0.050, 0.050 0.050, 0.333 0.950 ],Novel 9, [ 0.667 0.050, 0.667 0.667, 0.333 0.050, 0.050 0.950 ] Sample 10, [ 0.050 0.333, 0.050 0.950, 0.667 0.667, 0.333 0.333 ],Novel 10, [ 0.950 0.333, 0.667 0.950, 0.050 0.050, 0.950 0.050 ] Sample 11, [ 0.667 0.667, 0.667 0.050, 0.667 0.950, 0.950 0.050 ],Novel 11, [ 0.050 0.050, 0.333 0.050, 0.950 0.667, 0.950 0.333 ] Sample 12, [ 0.333 0.667, 0.333 0.333, 0.667 0.950, 0.333 0.950 ],Novel 12, [ 0.050 0.667, 0.050 0.333, 0.333 0.050, 0.950 0.667 ] Sample 13, [ 0.050 0.333, 0.950 0.050, 0.050 0.050, 0.950 0.667 ],Novel 13, [ 0.050 0.950, 0.667 0.667, 0.667 0.050, 0.333 0.333 ] Sample 14, [ 0.050 0.050, 0.950 0.333, 0.333 0.950, 0.950 0.050 ],Novel 14, [ 0.667 0.333, 0.667 0.050, 0.667 0.950, 0.667 0.667 ] Sample 15, [ 0.333 0.950, 0.667 0.333, 0.667 0.050, 0.950 0.950 ],Novel 15, [ 0.950 0.667, 0.050 0.333, 0.050 0.950, 0.050 0.050 ] Sample 16, [ 0.667 0.050, 0.950 0.333, 0.667 0.667, 0.333 0.950 ],Novel 16, [ 0.667 0.950, 0.667 0.333, 0.950 0.950, 0.950 0.667 ] Sample 17, [ 0.333 0.333, 0.050 0.667, 0.950 0.050, 0.050 0.050 ],Novel 17, [ 0.333 0.950, 0.667 0.667, 0.667 0.333, 0.950 0.333 ] Sample 18, [ 0.333 0.950, 0.333 0.050, 0.667 0.333, 0.333 0.667 ],Novel 18, [ 0.050 0.333, 0.050 0.950, 0.050 0.050, 0.333 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 4, 1, Sample, 82.893063, 64179.044882, 0.001292, 0.682326, [178 80]
 4, 1, Novel, 15.601295, 63968.176081, 0.000244,, [144 126]
 4, 2, Sample, 82.893063, 79803.293240, 0.001039, 0.629523, [103 20]
 4, 2, Novel, 18.797430, 79597.700354, 0.000236,, [59 80]
 4, 3, Sample, 82.893063, 79651.861508, 0.001041, 0.605897, [116 48]
 4, 3, Novel, 17.510434, 68561.754979, 0.000255,, [67 60]
 4, 4, Sample, 82.893063, 68675.006132, 0.001207, 0.587627, [125 73]
 4, 4, Novel, 25.002985, 79749.939243, 0.000314,, [42 61]
 4, 5, Sample, 82.893063, 95029.386560, 0.000872, 0.361125, [158 114]
 4, 5, Novel, 28.079009, 68580.979324, 0.000409,, [176 97]
 4, 6, Sample, 82.893063, 86686.347646, 0.000956, 0.613100, [42 58]
 4, 6, Novel, 14.670857, 63966.224964, 0.000229,, [159 159]
 4, 7, Sample, 82.893063, 68745.828819, 0.001206, 0.643081, [122 83]
 4, 7, Novel, 17.961949, 68575.777243, 0.000262,, [50 172]
 4, 8, Sample, 43.696949, 73808.982907, 0.000592, 0.428877, [172 90]
 4, 8, Novel, 18.833457, 79588.993318, 0.000237,, [28 57]
 4, 9, Sample, 82.893063, 64230.180651, 0.001291, 0.700677, [22 45]
 4, 9, Novel, 16.753050, 73755.966789, 0.000227,, [154 142]
 4, 10, Sample, 82.893063, 79696.859998, 0.001040, 0.628173, [155 24]
 4, 10, Novel, 15.197243, 63980.438344, 0.000238,, [134 11]
 4, 11, Sample, 82.893063, 73860.693442, 0.001122, 0.632232, [15 38]
 4, 11, Novel, 17.352597, 68622.705078, 0.000253,, [186 1]
 4, 12, Sample, 82.893063, 86603.025299, 0.000957, 0.566559, [124 155]
 4, 12, Novel, 19.519325, 73705.006025, 0.000265,, [25 156]
 4, 13, Sample, 82.893063, 64221.142751, 0.001291, 0.685285, [21 156]
 4, 13, Novel, 19.185641, 79596.145763, 0.000241,, [51 2]
 4, 14, Sample, 82.893063, 64193.345406, 0.001291, 0.699064, [182 89]
 4, 14, Novel, 19.804657, 86591.304627, 0.000229,, [182 109]
 4, 15, Sample, 82.893063, 73798.344704, 0.001123, 0.665448, [95 10]
 4, 15, Novel, 14.447410, 64030.280377, 0.000226,, [160 89]
 4, 16, Sample, 82.893063, 79789.411183, 0.001039, 0.614635, [197 46]
 4, 16, Novel, 18.265386, 73664.570064, 0.000248,, [51 17]
 4, 17, Sample, 73.835311, 68700.346336, 0.001075, 0.635450, [174 92]
 4, 17, Novel, 20.708299, 86440.819771, 0.000240,, [57 26]
 4, 18, Sample, 82.893063, 86661.804155, 0.000957, 0.620274, [176 97]
 4, 18, Novel, 15.368171, 68556.588383, 0.000224,, [71 69]
 5, 1, Sample, 82.893063, 64180.173712, 0.001292, 0.687034, [158 154]
 5, 1, Novel, 15.324379, 63957.646117, 0.000240,, [50 139]
 5, 2, Sample, 47.384091, 79802.793684, 0.000594, 0.418505, [189 83]
 5, 2, Novel, 19.384086, 79637.125132, 0.000243,, [46 200]
 5, 3, Sample, 82.893063, 79755.771648, 0.001039, 0.627779, [111 180]
 5, 3, Novel, 16.298972, 68580.204849, 0.000238,, [83 8]
 5, 4, Sample, 82.893063, 68767.649203, 0.001205, 0.555412, [58 39]
 5, 4, Novel, 27.472557, 79735.590147, 0.000345,, [186 85]
 5, 5, Sample, 82.893063, 95112.015093, 0.000872, 0.379161, [117 120]
