
Caudal Layer, 6-D input stimuli
Experiment:, list12,
NUM_ROWS = 200, B = 0.400000
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333  0.333, 0.667  0.950, 0.050  0.950, 0.667  0.333 ],Novel 1, [ 0.950  0.050, 0.050  0.050, 0.333  0.950, 0.050  0.333 ] Sample 2, [ 0.333  0.950, 0.667  0.950, 0.333  0.050, 0.333  0.333 ],Novel 2, [ 0.050  0.050, 0.050  0.333, 0.950  0.950, 0.667  0.050 ] Sample 3, [ 0.667  0.333, 0.667  0.950, 0.333  0.667, 0.333  0.950 ],Novel 3, [ 0.333  0.050, 0.950  0.333, 0.050  0.667, 0.333  0.333 ] Sample 4, [ 0.950  0.950, 0.667  0.333, 0.050  0.950, 0.667  0.950 ],Novel 4, [ 0.050  0.333, 0.333  0.667, 0.950  0.667, 0.333  0.050 ] Sample 5, [ 0.667  0.333, 0.950  0.667, 0.050  0.950, 0.667  0.950 ],Novel 5, [ 0.333  0.950, 0.333  0.333, 0.050  0.050, 0.667  0.050 ] Sample 6, [ 0.050  0.667, 0.050  0.050, 0.667  0.667, 0.050  0.950 ],Novel 6, [ 0.667  0.950, 0.950  0.050, 0.950  0.667, 0.950  0.950 ] Sample 7, [ 0.667  0.050, 0.950  0.050, 0.050  0.667, 0.333  0.050 ],Novel 7, [ 0.333  0.333, 0.050  0.950, 0.667  0.333, 0.950  0.333 ] Sample 8, [ 0.950  0.050, 0.333  0.950, 0.333  0.050, 0.950  0.667 ],Novel 8, [ 0.667  0.950, 0.333  0.333, 0.050  0.050, 0.050  0.333 ] Sample 9, [ 0.333  0.667, 0.333  0.333, 0.667  0.667, 0.050  0.050 ],Novel 9, [ 0.333  0.950, 0.667  0.050, 0.050  0.667, 0.050  0.950 ] Sample 10, [ 0.333  0.667, 0.050  0.333, 0.333  0.950, 0.333  0.050 ],Novel 10, [ 0.950  0.050, 0.667  0.667, 0.667  0.950, 0.950  0.667 ] Sample 11, [ 0.667  0.333, 0.950  0.050, 0.333  0.950, 0.950  0.667 ],Novel 11, [ 0.050  0.950, 0.050  0.667, 0.333  0.667, 0.050  0.333 ] Sample 12, [ 0.333  0.667, 0.333  0.333, 0.950  0.950, 0.950  0.667 ],Novel 12, [ 0.667  0.050, 0.667  0.333, 0.333  0.050, 0.950  0.333 ] 

Simulation, Stim Pair, Stimulus, Peak Act seg1, Peak Act seg2, Peak Act seg3, Peak Act seg4, Mean Peak Act, Total Act seg1, Total Act seg2, Total Act seg3, Total Act seg4, Mean Total Act, Selectivity, Dscore, Win Co-ords 1, Win Co-ords 2, Win Co-ords 3, Win Co-ords 4
 3, 7, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 76596.966982, 58751.032329, 77638.848582, 77483.929171, 72617.694266, 0.001158, 0.469403, [155 121], [189 70], [132 15], [181 110]
 3, 7, Novel, 82.893063, 22.658434, 28.495843, 20.958165, 38.751376, 109491.489305, 58450.684364, 111426.415871, 77154.611996, 89130.800384, 0.000418, , [42 107], [99 83], [104 55], [9 187]
 3, 8, Sample, 82.805074, 82.893063, 82.893063, 82.893063, 82.871066, 58279.117788, 77167.224943, 77319.757611, 77440.614034, 72551.678594, 0.001159, 0.491150, [131 116], [81 64], [191 23], [165 161]
 3, 8, Novel, 20.879802, 82.893063, 16.725518, 22.023772, 35.630539, 76660.541270, 111972.802526, 58540.320814, 77503.244084, 81169.227173, 0.000396, , [174 56], [188 17], [25 142], [96 176]
 3, 9, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109820.842986, 111972.802526, 111991.819390, 58768.950573, 98138.603869, 0.000911, -0.037552, [25 133], [188 17], [130 131], [45 168]
 3, 9, Novel, 82.893063, 28.980147, 82.893063, 82.893063, 69.414834, 76651.777123, 77375.994384, 77638.848582, 58930.795467, 72649.353889, 0.000983, , [162 58], [186 71], [132 15], [110 55]
 3, 10, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109820.842986, 77510.208471, 77747.468664, 77483.929171, 85640.612323, 0.000990, 0.131468, [25 133], [139 112], [72 20], [181 110]
 3, 10, Novel, 82.805074, 29.053605, 22.304264, 82.893063, 54.264002, 58279.117788, 111371.647437, 77492.092992, 77440.614034, 81145.868063, 0.000760, , [131 116], [85 13], [79 83], [165 161]
 3, 11, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109901.279777, 58751.032329, 77747.468664, 77440.614034, 80960.098701, 0.001075, 0.522454, [116 93], [189 70], [72 20], [165 161]
 3, 11, Novel, 15.770468, 21.028162, 58.410080, 22.023772, 29.308121, 58066.514978, 77222.517623, 112054.983103, 77503.244084, 81211.814947, 0.000337, , [100 84], [143 33], [126 128], [96 176]
 3, 12, Sample, 82.893063, 82.893063, 82.893063, 82.893063, 82.893063, 109820.842986, 111972.802526, 58746.581501, 77440.614034, 89495.210262, 0.000994, 0.113154, [25 133], [188 17], [142 133], [165 161]
 3, 12, Novel, 82.893063, 82.893063, 82.893063, 20.958165, 67.409339, 76596.966982, 111689.888890, 77319.757611, 77154.611996, 85690.306369, 0.000792, , [155 121], [180 112], [191 23], [9 187]
