
Perirhinal Layer, 24-D input stimuli
Experiment:, list18, 
Stim Condition:, 1, 
 Stimulus Set 1:
Sample 1, [ 0.333 0.050, 0.050 0.667, 0.050 0.333, 0.950 0.950 ],Novel 1, [ 0.333 0.333, 0.950 0.333, 0.667 0.950, 0.050 0.050 ] Sample 2, [ 0.050 0.667, 0.667 0.333, 0.333 0.050, 0.050 0.333 ],Novel 2, [ 0.950 0.333, 0.950 0.667, 0.333 0.667, 0.333 0.333 ] Sample 3, [ 0.950 0.050, 0.667 0.050, 0.050 0.050, 0.050 0.667 ],Novel 3, [ 0.333 0.050, 0.667 0.950, 0.050 0.950, 0.050 0.333 ] Sample 4, [ 0.050 0.333, 0.333 0.333, 0.667 0.050, 0.950 0.333 ],Novel 4, [ 0.333 0.667, 0.333 0.050, 0.333 0.950, 0.050 0.667 ] Sample 5, [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.950 ],Novel 5, [ 0.667 0.050, 0.950 0.667, 0.333 0.950, 0.050 0.333 ] Sample 6, [ 0.050 0.950, 0.333 0.950, 0.050 0.667, 0.667 0.333 ],Novel 6, [ 0.333 0.050, 0.050 0.333, 0.950 0.667, 0.667 0.050 ] Sample 7, [ 0.050 0.050, 0.950 0.050, 0.667 0.050, 0.050 0.333 ],Novel 7, [ 0.667 0.950, 0.333 0.050, 0.333 0.667, 0.950 0.667 ] Sample 8, [ 0.050 0.950, 0.333 0.050, 0.667 0.050, 0.667 0.667 ],Novel 8, [ 0.050 0.333, 0.667 0.333, 0.950 0.050, 0.050 0.667 ] Sample 9, [ 0.667 0.950, 0.950 0.333, 0.333 0.333, 0.050 0.667 ],Novel 9, [ 0.050 0.333, 0.667 0.333, 0.950 0.667, 0.050 0.050 ] Sample 10, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 10, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 11, [ 0.333 0.950, 0.050 0.950, 0.050 0.333, 0.667 0.950 ],Novel 11, [ 0.950 0.050, 0.333 0.050, 0.050 0.667, 0.050 0.050 ] Sample 12, [ 0.050 0.333, 0.667 0.333, 0.333 0.950, 0.667 0.050 ],Novel 12, [ 0.667 0.950, 0.950 0.667, 0.050 0.050, 0.050 0.950 ] Sample 13, [ 0.050 0.667, 0.950 0.667, 0.333 0.333, 0.333 0.950 ],Novel 13, [ 0.333 0.667, 0.667 0.667, 0.950 0.950, 0.050 0.950 ] Sample 14, [ 0.950 0.667, 0.667 0.050, 0.950 0.950, 0.333 0.050 ],Novel 14, [ 0.050 0.950, 0.667 0.950, 0.050 0.667, 0.950 0.050 ] Sample 15, [ 0.667 0.050, 0.050 0.333, 0.950 0.950, 0.667 0.333 ],Novel 15, [ 0.333 0.333, 0.050 0.950, 0.333 0.950, 0.950 0.667 ] Sample 16, [ 0.667 0.050, 0.050 0.333, 0.950 0.333, 0.050 0.950 ],Novel 16, [ 0.333 0.950, 0.050 0.050, 0.667 0.950, 0.950 0.050 ] Sample 17, [ 0.050 0.950, 0.333 0.667, 0.333 0.333, 0.950 0.050 ],Novel 17, [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.667 0.333 ] Sample 18, [ 0.050 0.333, 0.050 0.667, 0.050 0.950, 0.050 0.050 ],Novel 18, [ 0.667 0.050, 0.333 0.333, 0.333 0.950, 0.667 0.667 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 3, 10, Sample, 82.893063, 68708.518717, 0.001206, 0.598703, [156 113]
 3, 10, Novel, 19.386302, 64016.136229, 0.000303,, [69 11]
 3, 11, Sample, 82.893063, 68708.518717, 0.001206, 0.598703, [156 113]
 3, 11, Novel, 19.386302, 64016.136229, 0.000303,, [69 11]
 3, 12, Sample, 82.893063, 79834.653233, 0.001038, 0.405405, [196 99]
 3, 12, Novel, 28.120483, 64014.167639, 0.000439,, [41 69]
 3, 13, Sample, 82.893063, 79762.448623, 0.001039, 0.632671, [45 70]
 3, 13, Novel, 17.208907, 73599.960906, 0.000234,, [122 14]
 3, 14, Sample, 82.893063, 68686.652391, 0.001207, 0.432449, [13 178]
 3, 14, Novel, 30.662713, 64126.768644, 0.000478,, [2 22]
 3, 15, Sample, 82.893063, 73798.029584, 0.001123, 0.635617, [8 191]
 3, 15, Novel, 18.440320, 73691.680175, 0.000250,, [43 84]
 3, 16, Sample, 82.893063, 68587.752479, 0.001209, 0.646751, [156 25]
 3, 16, Novel, 16.594983, 64010.589575, 0.000259,, [5 75]
 3, 17, Sample, 82.893063, 73944.766861, 0.001121, 0.633186, [5 21]
 3, 17, Novel, 18.564200, 73731.819020, 0.000252,, [68 144]
 3, 18, Sample, 82.893063, 64138.921310, 0.001292, 0.688129, [147 108]
 3, 18, Novel, 20.648595, 86481.835443, 0.000239,, [68 61]
 4, 1, Sample, 82.893063, 68708.255363, 0.001206, 0.652085, [46 158]
 4, 1, Novel, 18.739210, 73756.558639, 0.000254,, [128 156]
 4, 2, Sample, 82.893063, 79906.239059, 0.001037, 0.624659, [158 135]
 4, 2, Novel, 20.721554, 86461.152079, 0.000240,, [76 25]
 4, 3, Sample, 72.297864, 64186.100417, 0.001126, 0.646857, [75 57]
 4, 3, Novel, 16.574240, 68620.648002, 0.000242,, [105 148]
 4, 4, Sample, 82.893063, 79799.802336, 0.001039, 0.611179, [158 23]
 4, 4, Novel, 19.949820, 79582.236097, 0.000251,, [137 138]
 4, 5, Sample, 82.893063, 73952.856029, 0.001121, 0.649973, [79 54]
 4, 5, Novel, 17.530022, 73721.640759, 0.000238,, [181 141]
 4, 6, Sample, 43.375396, 73819.873772, 0.000588, 0.200808, [77 93]
 4, 6, Novel, 28.843457, 73756.358568, 0.000391,, [86 111]
 4, 7, Sample, 82.893063, 64274.839218, 0.001290, 0.688588, [75 107]
 4, 7, Novel, 18.907543, 79496.049955, 0.000238,, [125 73]
 4, 8, Sample, 82.893063, 73861.425047, 0.001122, 0.535490, [150 128]
 4, 8, Novel, 25.056608, 73802.997534, 0.000340,, [72 107]
 4, 9, Sample, 82.893063, 79714.447700, 0.001040, 0.572507, [157 50]
 4, 9, Novel, 20.856671, 73778.128855, 0.000283,, [79 107]
 4, 10, Sample, 82.893063, 68730.229109, 0.001206, 0.631128, [14 20]
 4, 10, Novel, 17.476766, 64077.067834, 0.000273,, [67 53]
 4, 11, Sample, 82.893063, 68730.229109, 0.001206, 0.631128, [14 20]
 4, 11, Novel, 17.476766, 64077.067834, 0.000273,, [67 53]
 4, 12, Sample, 82.893063, 79787.096164, 0.001039, 0.436870, [182 89]
 4, 12, Novel, 26.075403, 64040.498285, 0.000407,, [159 50]
 4, 13, Sample, 82.893063, 79753.352418, 0.001039, 0.608439, [42 58]
 4, 13, Novel, 18.616283, 73574.856685, 0.000253,, [150 31]
 4, 14, Sample, 82.893063, 68611.287058, 0.001208, 0.434585, [163 40]
 4, 14, Novel, 30.507616, 64068.530341, 0.000476,, [77 96]
 4, 15, Sample, 82.893063, 73787.209369, 0.001123, 0.628672, [85 113]
 4, 15, Novel, 18.869594, 73671.898183, 0.000256,, [3 23]
 4, 16, Sample, 82.893063, 68654.063588, 0.001207, 0.660136, [178 80]
 4, 16, Novel, 15.814230, 63978.649763, 0.000247,, [182 25]
